3,3,63
2,3,43
6,5,63
7,5,39
6,5,68
6,1,38
2,3,52
7,2,44
7,5,66
2,5,55
7,5,67
3,4,41
9,3,22
2,1,40
2,2,60
9,2,62
10,2,12
2,4,33
3,1,31
4,2,43
8,4,65
9,3,39
7,4,36
10,1,48
7,3,76
3,5,33
8,4,25
8,1,47
1,5,64
10,3,46
4,4,63
4,1,43
5,2,58
9,5,36
10,5,41
8,1,51
8,3,78
2,1,44
1,4,58
1,1,54
2,2,48
10,3,43
4,2,55
2,4,36
4,2,100
10,5,61
3,5,74
5,5,30
9,4,67
3,3,55
3,3,40
2,4,64
6,3,49
6,4,49
7,3,62
3,2,58
5,1,73
6,4,52
6,4,20
5,3,24
3,5,61
8,2,72
2,4,65
6,2,62
3,1,51
8,1,21
10,3,92
6,1,55
3,2,18
2,3,26
2,5,89
8,4,74
2,3,41
4,2,72
9,3,46
9,5,45
1,3,81
5,5,74
6,4,40
6,1,40
6,5,37
7,3,66
4,1,40
9,3,36
10,2,21
5,3,25
6,5,42
5,1,55
8,3,8
2,1,50
7,5,69
10,2,40
6,4,67
2,1,14
9,1,15
5,5,63
4,1,44
9,1,34
8,2,44
7,3,42
8,1,62
3,4,37
8,2,59
1,1,38
6,4,48
1,3,27
8,3,61
1,5,53
9,5,70
4,3,31
2,5,58
10,2,81
8,3,49
1,2,51
6,2,48
6,3,72
3,3,61
3,2,68
6,5,34
10,1,21
9,4,72
3,3,61
7,4,65
9,5,46
4,3,77
9,2,26
9,1,66
4,4,37
10,5,51
4,3,69
7,3,33
4,2,62
10,4,83
3,1,44
10,2,26
9,2,86
1,5,66
7,1,64
1,5,38
10,4,66
1,1,65
8,5,72
8,3,60
10,4,34
9,5,44
7,1,78
1,4,55
4,5,28
10,2,40
6,3,56
3,1,57
5,4,33
2,4,48
1,3,31
7,2,30
3,1,50
2,2,98
5,3,28
7,4,28
1,2,55
2,5,76
2,5,65
8,1,34
9,3,62
9,1,49
5,3,32
3,5,62
9,4,29
8,1,53
9,5,36
3,4,79
3,3,50
10,4,61
4,2,45
4,2,74
8,5,48
3,4,30
4,3,60
7,3,77
6,5,78
2,3,40
1,2,31
10,3,63
4,3,29
5,3,78
7,5,45
5,3,57
5,4,66
1,3,38
2,5,41
3,2,27
8,1,25
3,4,53
5,3,45
8,2,64
9,2,54
5,2,50
1,1,3
8,2,67
4,1,51
2,4,62
3,4,62
2,3,35
5,4,68
4,5,45
4,2,49
5,4,43
2,5,68
5,1,80
9,4,81
9,3,62
10,5,48
9,3,64
5,1,10
5,2,35
9,4,55
1,1,88
4,4,74
1,5,33
2,2,35
5,4,66
8,3,49
3,5,74
10,3,80
10,4,69
4,2,32
2,2,57
8,4,65
3,4,51
7,1,43
4,4,45
2,1,74
7,3,61
3,1,40
6,5,46
7,5,54
10,1,25
5,4,28
4,5,67
10,5,90
7,3,48
1,2,92
6,3,32
7,1,72
3,3,75
6,2,53
5,5,46
9,5,29
1,2,48
7,5,56
10,1,62
3,3,65
1,1,43
2,1,36
5,5,51
1,1,20
10,1,25
5,1,31
1,4,43
1,5,33
8,5,43
6,1,19
8,5,31
10,5,31
4,4,64
4,3,71
10,3,17
3,5,17
10,4,39
6,2,63
4,3,22
7,2,70
3,5,19
7,1,50
6,1,43
8,5,46
9,1,49
8,4,67
2,1,22
8,4,37
4,4,52
5,5,31
4,4,44
6,2,50
4,5,49
4,5,67
4,4,39
4,4,52
10,3,64
5,4,74
7,2,60
6,1,65
3,5,51
8,2,87
4,1,52
1,4,31
2,4,58
8,2,35
2,2,63
8,4,78
2,3,56
6,1,31
5,1,61
4,3,58
9,4,47
5,4,27
3,1,51
6,1,54
1,2,46
6,1,60
2,3,36
3,2,78
1,3,36
8,5,41
3,2,17
8,2,17
5,2,55
4,5,47
3,3,55
10,4,63
7,2,62
1,2,65
6,2,59
1,2,35
6,3,50
1,4,89
8,1,29
2,5,51
5,1,53
7,5,29
9,1,31
7,1,41
6,4,49
5,1,17
6,5,53
7,4,40
6,5,27
3,5,49
4,1,56
3,4,100
10,5,40
10,4,58
6,4,70
2,1,51
8,3,61
9,1,69
7,1,37
7,4,49
4,1,37
4,1,61
6,3,34
7,2,61
7,5,19
2,4,70
3,1,26
1,1,15
9,1,71
1,2,30
5,2,48
5,5,63
4,3,69
9,4,62
2,2,64
6,3,51
6,2,77
1,4,58
1,5,56
3,2,61
9,2,44
8,2,48
4,5,66
7,2,37
8,3,43
10,3,65
8,4,73
6,4,44
2,1,23
6,3,35
7,2,68
10,2,74
9,1,21
9,2,49
5,1,75
9,4,27
5,5,30
3,4,70
3,2,54
10,1,55
2,2,42
7,3,78
8,4,65
1,3,64
9,2,61
2,2,56
5,2,63
5,3,65
4,5,49
10,2,51
6,1,63
9,5,53
1,3,13
3,1,21
1,4,43
7,2,43
9,3,31
5,2,40
3,2,60
9,2,17
9,2,86
1,4,61
5,2,59
5,5,45
1,2,25
5,2,50
1,3,50
10,4,6
9,5,43
4,1,35
6,5,60
7,5,94
8,5,60
9,5,52
